Item,Quantity,Price (Total),Source
M3x12mm SHCS Bolt,4,$1.18,https://us.store.bambulab.com/products/m3-socket-head-cap-machine-screws-shcs-1?id=42334746673288
M3x5mx4mm heatset inserts,4,$0 (Part of kit),Kit
Seeedxiao RP2040 Microcontroller,1,$0 (Part of kit),Kit
MX-Style Switches,4,$0 (Part of kit),Kit
0.91 inch OLED display ,1,$0 (Part of kit),Kit
White blank DSA keycaps,4,$0 (Part of kit),Kit
PCB,1,$0 (PCB Grant),PCB grant
3D Printed Case,2,$0 (Printing Legion),Printing Legion
,,,
,,TOTAL,
,,$1.18,
